X,Y,fid,TIPO,icon_url
-111.676920976999,25.0519119127865,"1",Lienzo Charro,./0.png
-111.63026475817,24.9338744987901,"2",Cancha,
-111.631902689096,24.9318777010334,"3",Cancha,
-111.935570688192,25.1458775632438,"4",Cancha,
-111.657526006007,25.0388796454447,"5",Cancha,
-111.66378391439,25.0255015917241,"6",Cancha,
-111.774277351002,25.2441310544255,"7",Cancha,
-111.647586257757,25.0241020074589,"8",Cancha,
-111.62844553743,25.0212554198866,"9",Cancha,
-111.678997033938,25.0273680786611,"10",Lienzo Charro,./0.png
-111.770157115003,25.2570084259472,"11",Cancha,
-111.644380517509,25.0296282742458,"12",Cancha,
-111.635607714809,25.0316565381188,"13",Cancha,
-111.650423711775,25.0263753841524,"14",Cancha,
-111.769710505327,25.2556699933109,"15",Cancha,
-111.680778311261,25.041207577124,"16",Cancha,
-111.785499699479,25.2660599116095,"17",Cancha,
-111.767906190716,25.265964202874,"18",Cancha,
-111.777812683862,25.2726439461842,"19",Cancha,
-112.478873267576,26.2577247146759,"20",Cancha,
-111.771552476394,25.2563305123289,"21",Cancha,
-111.778795778291,25.2696990840723,"22",Cancha,
-111.775045888103,25.2672186822607,"23",Cancha,
-111.64012106735,25.0239211878381,"24",Cancha,
-111.673484403016,25.0234480994147,"25",Cancha,
-111.649112411997,25.0450162375018,"26",Cancha,
-111.656113547906,25.0267833860216,"27",Cancha,
-111.654171460798,25.0245253549078,"28",Cancha,
-111.647278903294,25.0400538780772,"29",Cancha,
-111.678147555569,25.0262238362469,"30",Cancha,
-111.649498502667,25.0214696583833,"31",Cancha,
-111.65246431592,25.0209988306397,"32",Cancha,
-111.650198740406,25.0212192088029,"33",Cancha,
-112.111340012683,25.1895625521392,"34",Cancha,
-112.116078724816,25.1894514100843,"35",Cancha,
-111.822578677065,24.4767646805736,"36",Cancha,
-112.073626964204,26.1881711290931,"37",Cancha,
-112.029058907823,25.8029592870008,"38",Cancha,
-111.955282569034,25.1230739281394,"39",Cancha,
-112.044935893387,26.2045080427017,"40",Estadio,./1.png
-112.046774914121,26.2025887745269,"41",Estadio,./1.png
-111.921810609735,25.4895154467072,"42",Estadio,./1.png
-111.561463644728,25.2031525260141,"43",Estadio,./1.png
-111.846566959244,24.504531118235,"44",Estadio,./1.png
-111.847797600063,24.5047463530047,"45",Estadio,./1.png
-112.073660910628,26.1877796432019,"46",Estadio,./1.png
-111.53056340407,25.09778208182,"47",Estadio,./1.png
-111.635867474587,25.0441077778725,"48",Estadio,./1.png
-111.673113942436,25.0437605500108,"49",Estadio,./1.png
-111.822203024616,24.4768492807947,"50",Estadio,./1.png
-111.770313319599,25.2725997349131,"51",Estadio,./1.png
-112.021426612995,26.2155376665992,"52",Estadio,./1.png
-111.627843990104,24.9317438223802,"53","""Estadio de Beisbol Guadalupe """"Zurdo"""" Higuera""",
-111.647491884261,25.020257411781,"54",Cancha,
-111.629315474647,25.0287590229496,"55",Velódromo,./2.png
-112.10825690441,25.1905007290886,"56",Cancha,
-111.783578916196,25.2645590713297,"57",Cancha,
-112.112838789465,24.7909198923746,"58",Cancha,
-112.139547380042,24.635318110437,"59",Cancha,
-111.562743805691,25.250733121502,"60",Cancha,
-111.660987460927,25.0194144500101,"61",Unidad Deportiva,./3.png
-111.843154124505,25.3973399565382,"62",Cancha,
-111.649319080897,25.0273706771704,"63",Cancha,
-113.711846989806,26.7984353087331,"64",Parque,./4.png
-114.04763097976,27.9775589404687,"65",Parque,./4.png
-111.982388297388,26.8907216245785,"66",Parque,./4.png
-111.98104193588,26.8915070415109,"67",Parque,./4.png
-113.442466840964,27.6477475738532,"68",Parque,./4.png
-114.026638914232,27.9721952079124,"69",Parque,./4.png
-114.055465236555,27.9610174874562,"70",Parque,./4.png
-114.030364051103,27.970745042946,"71",Parque,./4.png
-114.041640543409,27.9713173936654,"72",Parque,./4.png
-114.04951021977,27.9715040310572,"73",Parque,./4.png
-114.053045034536,27.9575774377502,"74",Parque,./4.png
-114.056027587298,27.9577662955376,"75",Parque,./4.png
-114.902429329031,27.6985854398163,"76",Parque,./4.png
-114.297661599388,27.1409517558427,"77",Cancha,
-114.297179143409,27.1418254562635,"78",Parque,./4.png
-112.273099318513,27.3464598394616,"79",Parque,./4.png
-114.061825160499,27.9595214945845,"80",Cancha,
-113.387135376105,27.6441505085747,"81",Cancha,
-112.273935932322,27.3512721858579,"82",Cancha,
-112.272421335444,27.3517717359037,"83",Cancha,
-112.277702726671,27.3322325139584,"84",Cancha,
-112.279474533977,27.3289101037768,"85",Cancha,
-111.988467255088,26.8827128410461,"86",Cancha,
-112.272745246637,27.3516713520075,"87",Cancha,
-114.061912937352,27.9586706098063,"88",Cancha,
-111.988074416711,26.8829996070137,"89",Cancha,
-113.573516252723,26.7157809398543,"90",Cancha,
-112.260552746954,27.3301161994432,"91",Cancha,
-114.060403587869,27.9590078562526,"92",Cancha,
-114.600016650796,27.4785513239825,"93",Cancha,
-114.599671125986,27.4787720735442,"94",Cancha,
-115.077559560244,27.8483965067576,"95",Cancha,
-114.042719201818,27.0150935890799,"96",Parque,./4.png
-112.158037729497,27.1600402147666,"97",Cancha,
-112.897804420267,27.3013906898869,"98",Cancha,
-112.34977907996,27.2604049803139,"99",Cancha,
-113.680392679896,27.8199055502718,"100",Cancha,
-112.08444542036,27.0314890003693,"101",Cancha,
-113.786368119797,27.8849107204486,"102",Cancha,
-113.362713259607,27.7976354896523,"103",Cancha,
-113.148325850239,26.8224010002883,"104",Cancha,
-113.979043320482,26.9879446497977,"105",Cancha,
-113.452523950203,27.7197119995425,"106",Cancha,
-113.451917140129,27.7205491796794,"107",Cancha,
-111.991646538858,26.8809175858777,"108",Cancha,
-113.782537461142,27.8781510271504,"109",Cancha,
-114.8958579916,27.6937446799264,"110",Cancha,
-114.05508823824,27.9593881407355,"111",Parque,./4.png
-114.056133914671,27.9557688302813,"112",Cancha,
-112.259822430772,27.3241204866348,"113",Parque,./4.png
-114.894829824991,27.6922665948689,"114",Cancha,
-114.900358703588,27.6956303851539,"115",Parque,./4.png
-114.047494485202,27.9649887112297,"116",Cancha,
-114.057068113283,27.9622099202034,"117",Parque,./4.png
-111.96023339995,26.9051133744148,"118",Cancha,
-112.897648145085,27.2838029806814,"119",Parque,./4.png
