X,Y,fid,TIPO,icon_url
-109.950211,23.974329,"228",PRIMARIA,
-109.704343,23.151206,"229",PRIMARIA,
-111.843107,25.398004,"230",PRIMARIA,
-109.718003,23.475725,"231",PRIMARIA,
-109.58669,23.597018,"232",PRIMARIA,
-110.373464,24.10094,"233",PRIMARIA,
-110.315056,24.157152,"234",PRIMARIA,
-109.7734,23.442694,"235",PRIMARIA,
-110.299131,24.050525,"236",PRIMARIA,
-112.04362,26.204527,"237",PRIMARIA,
-115.168112,27.85384,"238",PRIMARIA,
-112.276165,27.333184,"239",PRIMARIA,
-110.326677,24.144453,"240",PRIMARIA,
-110.232796,23.453953,"241",PRIMARIA,
-110.279747,23.636415,"242",PRIMARIA,
-111.106479,24.394134,"243",PRIMARIA,
-111.658727,25.034981,"244",PRIMARIA,
-111.561685,25.203828,"245",PRIMARIA,
-109.915663,22.885522,"246",PRIMARIA,
-109.935927,23.967068,"247",PRIMARIA,
-109.582843,23.219891,"248",PRIMARIA,
-111.553027,24.424139,"249",PRIMARIA,
-112.894437,27.281706,"250",PRIMARIA,
-111.781219,25.260137,"251",PRIMARIA,
-109.678761,23.540428,"252",PRIMARIA,
-109.699485,23.662072,"253",PRIMARIA,
-109.695526,23.060382,"254",PRIMARIA,
-111.465495,24.590905,"255",PRIMARIA,
-110.266321,24.159288,"256",PREESCOLAR,
-109.708574,23.079181,"257",PREESCOLAR,
-109.943661,22.937553,"258",SECUNDARIA,
-109.943661,22.937553,"259",SECUNDARIA,
-110.268926,23.934208,"260",SECUNDARIA,
-112.257505,27.322053,"261",SECUNDARIA,
-110.815278,23.981944,"262",INICIAL GENERAL,
-112.258973,27.324006,"263",PRIMARIA,
-109.716279,23.477619,"264",SECUNDARIA,
-113.440425,27.669029,"265",SECUNDARIA,
-109.728315,23.123646,"266",PREESCOLAR,
-110.323112,24.119929,"267",PRIMARIA,
-111.630115,25.021285,"268",PRIMARIA,
-109.709729,23.116524,"269",PRIMARIA,
-109.930219,22.919489,"270",PRIMARIA,
-110.317241,24.110837,"271",SECUNDARIA,
-110.317241,24.110837,"272",SECUNDARIA,
-110.311746,24.055353,"273",PREESCOLAR,
-110.295038,24.051951,"274",PREESCOLAR,
-112.027231,25.768391,"275",SECUNDARIA,
-110.334697,24.090072,"276",PRIMARIA,
-111.774492,25.258086,"277",SECUNDARIA,
-110.289786,24.136678,"278",SECUNDARIA,
-110.289786,24.136678,"279",SECUNDARIA,
-109.713188,23.091282,"280",PRIMARIA,
-110.157,23.3788,"281",INICIAL GENERAL,
-110.291406,24.062238,"282",PRIMARIA,
-110.426494,24.106529,"283",PRIMARIA,
-109.671726,23.061799,"284",PRIMARIA,
-114.046361,27.017477,"285",PRIMARIA,
-110.963262,24.485279,"286",SECUNDARIA,
-112.642133,26.837231,"287",INICIAL GENERAL,
-111.67078,25.13298,"288",PRIMARIA,
-112.810768,26.81738,"289",PRIMARIA,
-112.810768,26.81738,"290",INICIAL GENERAL,
-109.715041,23.118835,"291",PREESCOLAR,
-110.273402,23.775366,"292",INICIAL GENERAL,
-110.281,23.7188,"293",PREESCOLAR,
-109.71025,23.073088,"294",PRIMARIA,
-109.945074,22.946146,"295",SECUNDARIA,
-109.945074,22.946146,"296",SECUNDARIA,
-110.287425,24.073578,"297",PRIMARIA,
-109.717839,23.081624,"298",PRIMARIA,
-109.946172,22.937775,"299",PREESCOLAR,
-109.726756,23.093402,"300",SECUNDARIA,
-109.726756,23.093402,"301",SECUNDARIA,
-110.291762,24.06145,"302",SECUNDARIA,
-110.291762,24.06145,"303",SECUNDARIA,
-110.816474,23.983705,"304",PRIMARIA,
-110.321558,24.125337,"305",PREESCOLAR,
-111.001,24.3465,"306",PRIMARIA,
-112.236269,27.061259,"307",PRIMARIA,
-110.300043,24.135683,"308",PRIMARIA,
-110.287425,24.073578,"309",PREESCOLAR,
-113.370621,27.639541,"310",SECUNDARIA,
-111.155517,24.73727,"311",INICIAL GENERAL,
-112.042024,26.204974,"312",PREESCOLAR,
-112.162266,27.162815,"313",PREESCOLAR,
-113.451799,27.625043,"314",INICIAL GENERAL,
-109.942471,22.937217,"315",PREESCOLAR,
-111.51319,25.641271,"316",PRIMARIA,
-111.340124,26.001812,"317",PRIMARIA,
-112.70739,27.362965,"318",SECUNDARIA,
-111.566564,25.205036,"319",SECUNDARIA,
-111.642409,25.067073,"320",SECUNDARIA,
-110.953305,24.841297,"321",PRIMARIA,
-113.396,27.5387,"322",INICIAL GENERAL,
-109.711196,23.073148,"323",PREESCOLAR,
-110.288121,24.151829,"324",PRIMARIA,
-109.911102,22.892984,"325",PRIMARIA,
-110.302747,24.119829,"326",PRIMARIA,
-109.71636,23.488158,"327",PRIMARIA,
-114.295168,27.140099,"328",PREESCOLAR,
-110.289876,24.136692,"329",PRIMARIA,
-111.847888,24.504743,"330",PRIMARIA,
-110.280571,24.146918,"331",PRIMARIA,
-109.552106,23.234352,"332",PRIMARIA,
-109.718114,23.118519,"333",PRIMARIA,
-110.816624,23.983787,"334",SECUNDARIA,
-113.378498,27.642474,"335",PRIMARIA,
-112.35021,27.260238,"336",PRIMARIA,
-111.67078,25.13298,"337",INICIAL GENERAL,
-109.650214,23.55725,"338",PREESCOLAR,
-110.305098,24.165133,"339",SECUNDARIA,
-110.305098,24.165133,"340",SECUNDARIA,
-110.291759,24.162058,"341",PREESCOLAR,
-109.914221,22.882257,"342",PREESCOLAR,
-111.665444,25.025022,"343",PRIMARIA,
